EQUIPO,PART,MIN,PT,T2,T3,TC,TL,RO,RD,RT,AS,BR,BP,TF,TC,MT,FC,FR,VA,Temporada,Liga
CAMPUS PROMETE,26,5275,1729,535/1158,126/418,661/1576,281/393,234,614,848,365,185,468,42,44,0,488,420,1562,2015/2016,LF Endesa
C.R.E.F. ¡HOLA!,26,5250,1736,518/1226,126/389,644/1615,322/457,304,651,955,293,241,458,40,36,0,530,468,1603,2015/2016,LF Endesa
STAR CENTER-UNI FERROL,26,5250,1675,498/1078,147/494,645/1572,238/331,224,592,816,321,212,432,31,43,0,412,411,1559,2015/2016,LF Endesa
GERNIKA BIZKAIA,26,5225,1885,537/1074,165/471,702/1545,316/411,250,551,801,335,227,379,39,39,0,460,465,1936,2015/2016,LF Endesa
MANN-FILTER,26,5225,1819,495/1035,170/510,665/1545,319/442,202,587,789,367,229,380,51,45,0,482,451,1796,2015/2016,LF Endesa
SPAR CITYLIFT GIRONA,26,5200,1811,541/1071,158/448,699/1519,255/382,269,633,902,358,210,476,36,37,0,427,448,1878,2015/2016,LF Endesa
C.B. CONQUERO HUELVA WAGEN,26,5225,1921,610/1207,134/431,744/1638,299/447,271,662,933,379,181,385,67,46,0,445,477,2040,2015/2016,LF Endesa
GRAN CANARIA 2014,26,5250,1765,521/1189,137/432,658/1621,312/439,237,667,904,249,215,386,81,44,0,413,422,1703,2014/2015,LF Endesa
STAR CENTER-UNI FERROL,26,5225,1620,503/1096,141/493,644/1589,191/279,192,560,752,316,226,385,26,56,0,411,336,1391,2014/2015,LF Endesa
MANN-FILTER,26,5275,1657,527/1173,112/386,639/1559,267/384,232,554,786,303,214,370,50,64,1,483,446,1502,2014/2015,LF Endesa
C.B. AL-QÁZERES EXTREMADURA,26,5250,1573,485/1154,112/404,597/1558,267/351,290,605,895,232,136,422,46,68,0,399,413,1361,2014/2015,LF Endesa
IDK GIPUZKOA UPV,26,5275,1568,492/1153,118/428,610/1581,230/322,212,620,832,304,189,393,57,49,0,380,437,1502,2014/2015,LF Endesa
ZAMARAT,26,5250,1687,461/1146,167/513,628/1659,264/365,328,612,940,293,166,436,91,50,1,438,439,1560,2014/2015,LF Endesa
CADI LA SEU,26,5250,1664,456/1120,153/504,609/1624,293/408,252,500,752,235,313,362,49,71,0,465,466,1451,2014/2015,LF Endesa
PERFUMERIAS AVENIDA,26,5200,1907,613/1231,138/416,751/1647,267/391,294,693,987,423,287,426,87,42,0,412,398,2189,2014/2015,LF Endesa
GERNIKA BIZKAIA,26,5200,1840,580/1172,136/400,716/1572,272/371,261,574,835,331,186,399,57,47,1,456,440,1832,2014/2015,LF Endesa
SPAR CITYLIFT GIRONA,26,5225,1887,554/1133,142/437,696/1570,353/464,267,667,934,351,161,351,52,47,0,360,456,2098,2014/2015,LF Endesa
RIVAS ECOPOLIS,26,5200,1701,534/1193,113/391,647/1584,294/392,194,597,791,274,192,340,52,51,0,402,425,1607,2014/2015,LF Endesa
EMBUTIDOS PAJARIEL BEMBIBRE PDM,26,5250,1682,462/1033,173/516,635/1549,239/324,210,618,828,374,191,326,27,50,0,418,396,1705,2014/2015,LF Endesa
CAMPUS PROMETE,26,5250,1659,552/1240,83/311,635/1551,306/414,211,667,878,321,172,468,69,71,0,470,447,1513,2014/2015,LF Endesa
C.B. CONQUERO HUELVA WAGEN,26,5200,1741,586/1278,100/353,686/1631,269/359,267,613,880,371,243,358,60,60,0,442,405,1805,2014/2015,LF Endesa
PERFUMERIAS AVENIDA,22,4400,1655,555/1137,102/319,657/1456,239/326,254,612,866,316,204,355,105,39,0,387,359,1838,2013/2014,LF Endesa
RIVAS ECOPOLIS,22,4400,1544,478/1062,116/352,594/1414,240/332,227,446,673,267,221,248,53,45,0,331,375,1597,2013/2014,LF Endesa
BIZKAIA GDKO,22,4425,1261,358/934,112/387,470/1321,209/283,205,546,751,206,159,370,63,49,0,390,334,1040,2013/2014,LF Endesa
CLUB BALONCESTO CONQUERO,22,4425,1310,402/1005,99/346,501/1351,209/297,227,504,731,210,169,344,44,54,0,419,352,1061,2013/2014,LF Endesa
BEROIL - CIUDAD DE BURGOS,22,4425,1267,374/871,101/394,475/1265,216/291,221,467,688,190,184,313,36,48,0,381,362,1120,2013/2014,LF Endesa
SPAR UNIGIRONA,22,4588,1433,423/935,119/398,542/1333,230/336,228,593,821,259,189,363,38,37,0,367,355,1431,2013/2014,LF Endesa
GIPUZKOA UPV,22,4400,1367,409/988,92/324,501/1312,273/367,194,568,762,279,151,344,45,51,0,352,428,1380,2013/2014,LF Endesa
GRAN CANARIA 2014,22,4425,1560,437/937,127/399,564/1336,305/423,224,516,740,219,162,346,60,54,0,358,391,1484,2013/2014,LF Endesa
MANN-FILTER,22,4438,1410,451/1001,81/289,532/1290,265/335,230,448,678,247,184,356,38,73,0,404,382,1278,2013/2014,LF Endesa
CADI - ICG SOFTWARE,22,4450,1334,386/953,98/354,484/1307,268/375,197,495,692,203,184,330,41,37,0,398,412,1171,2013/2014,LF Endesa
EMBUTIDOS PAJARIEL BEMBIBRE PDM,22,4425,1387,398/935,131/391,529/1326,198/264,161,527,688,234,149,273,33,40,0,342,336,1309,2013/2014,LF Endesa
ALIMENTOS DE ZAMORA,22,4475,1386,382/919,114/425,496/1344,280/363,216,572,788,242,154,356,53,55,0,373,392,1300,2013/2014,LF Endesa
HONDARRIBIA - IRÚN,20,4000,1268,355/875,120/343,475/1218,198/267,153,487,640,209,151,307,49,38,0,305,323,1178,2012/2013,LF Endesa
SPAR UNIGIRONA,20,4000,1379,389/802,116/323,505/1125,253/340,175,506,681,253,166,329,50,27,0,343,342,1465,2012/2013,LF Endesa
TOYOTA RECREATIVO CONQUERO,20,4000,1307,386/827,120/363,506/1190,175/234,158,392,550,235,141,290,24,36,0,352,294,1130,2012/2013,LF Endesa
TINTOS DE TORO CAJA RURAL,20,4000,1432,447/1055,91/274,538/1329,265/354,197,482,679,227,152,281,35,26,0,361,354,1331,2012/2013,LF Endesa
C.B. BEMBIBRE PDM,20,4050,1151,368/870,92/320,460/1190,139/215,179,429,608,222,122,288,30,43,0,348,304,952,2012/2013,LF Endesa
PERFUMERIAS AVENIDA,20,4025,1485,424/852,128/371,552/1223,253/344,198,526,724,274,192,310,40,35,0,332,341,1617,2012/2013,LF Endesa
LEVITEC HUESCA LA MAGIA,34,6850,2382,606/1211,250/800,856/2011,420/599,244,768,1012,448,198,469,54,50,56,604,685,2372,2021/2022,LEB Oro
GRAN CANARIA 2014,20,4050,1323,390/853,98/335,488/1188,249/348,197,490,687,204,131,297,37,31,0,325,360,1290,2012/2013,LF Endesa
